Fund_Entity_ID,Fund Name,Profile Equity AUM,Calculated Equity AUM
04DJL0-E,Strategic Advisers Value Fund,8219250271.0,8749193646
04KWNM-E,Invesco S&p 500 Equal Weight Etf,16124946716.0,16124946716
04BXD3-E,Investors Canadian Large Cap Value Fund,1857918672.0,1857918672
04BT3C-E,Advisors Inner Circle - Lsv Value Equity Fund,3087878998.0,3087878998
04BHDB-E,Ishares Tr. - Russell 1000 Etf,20466226782.0,20466226782
04BHCV-E,Ishares Tr. - S&p 500 Value Etf,15461844153.0,15458146252
04BFN5-E,Cref Global Equities Account,18685124846.0,18990856313
04CLRP-E,Ishares Tr. - Core S&p Total Us Stock Market Etf,21216993972.0,21216956689
04BH7L-E,Tiaa-cref Equity Index Fund,19434873809.0,19434557273
04CHYH-E,Sterling Capital Special Opportunities Fund,1054027148.0,1054027148
04L74F-E,Benefit Us Large Cap Equity Fund,2001086244.0,2005506841
04BFN7-E,Cref Equity Index Account,17978866537.0,17978088857
04F85W-E,Schwab Us Large Cap Etf,16987284195.0,16987250330
04CBJ5-E,Vanguard Investment Series Plc - Us Opportunities Fund,2576212058.0,2588623177
04LDKL-E,None,,17450436998
04BZN0-E,Bmo Private Us Equity Portfolio,2323518469.0,2323518469
04C04F-E,Bl - Equities America,926893450.0,998064780
04CWBN-E,Nordea 1 - Global Stable Equity Fund,2783184038.0,2825167385
04BJ95-E,Matthew 25 Fund,267998260.0,330624309
04CRH2-E,Ave Maria Rising Dividend Fund,812684880.0,812684880
04JMG7-E,Fidelity Sai Us Large Cap Index Fund,13271268658.0,13143747609
04BCLW-E,Parnassus Fund,870915238.0,870915238
04GXK4-E,Dfa Tax Managed Us Marketwide Value Series,7097576739.0,7097574849
04F85X-E,Schwab Us Large Cap Growth Etf,7797780155.0,7797780155
04F85T-E,Schwab Us Broad Market Etf,15342582936.0,15342226363
04CDVX-E,Tiaa-cref Large Cap Growth Index Fund,6689990004.0,6689746079
04BCS8-E,Pioneer Disciplined Growth Fund,963361474.0,963361474
04B9LZ-E,Fidelity Export & Multinational Fund,1558022980.0,1603850588
04GG6L-E,London Life American Growth Fund (agf),746396963.0,746396963
04CF9W-E,British Columbia Inv Management Corp.,42530173495.0,42759935641
04HKKC-E,Ishares Iii Plc - Core Msci World Ucits Etf,19350827747.0,19481607897
04BF3K-E,Vanguard Tax Managed Capital Appreciation Fund,10647523070.0,10647521219
04HHP8-E,Large Cap Index Master Portfolio,11642234060.0,11642234060
04HJD5-E,Vanguard Employee Benefit Index Fund,11289508667.0,11286814722
04KHX7-E,Nomura Asset Nomura Global Ai Related Equity Fund Mother Fund,2672481964.0,2704238860
04KX4Z-E,Fidelity Sai Us Value Index Fund,1605925806.0,1730155646
04CWG9-E,Franklin Managed Income Fund,1316393550.0,1390405425
04BRQK-E,Permanent Portfolio Family Of Funds - Permanent Portfolio,799229550.0,799229550
04D614-E,Dfa Ta Us Core Equity 2 Portfolio,8849346332.0,8849237112
