Company Name,Shares Equivalent Held(actual),Company Name (DT),Current Position
American Woodmark Corporation,1310490,"USANA Health Sciences, Inc.",1406016
AZZ Inc.,2639997,Ipsen SA,965711
Greene King plc,11149958,Hypera S.A.,13893520
"Suzuken Co., Ltd.",2153164,Jeronimo Martins SGPS SA,6843317
Bank of Ireland Group Plc,27064648,"Schweitzer-Mauduit International, Inc.",3346235
GCP Applied Technologies Inc.,5778313,"Boston Private Financial Holdings, Inc.",9195528
"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",12078116,"Inogen, Inc.",1662294
AB Industrivärden,5133108,IOI Corp. Bhd.,109289583
Designer Brands Inc.,6763836,Amundi SA,1597002
"Haier Electronics Group Co., Ltd.",43593397,Mr Price Group Limited,8900548
JAPAN POST BANK,11520833,"Advantech Co., Ltd.",13112122
"Radius Health, Inc.",4102362,"Greenbrier Companies, Inc.",3830260
"Keihan Holdings Co., Ltd.",2696226,"Ryohin Keikaku Co., Ltd.",6181270
"Yamada Denki Co., Ltd.",23931801,Fastighets Balder AB Class B,3193404
Home Product Center Public Company Limited,198400316,Intelsat S.A.,5683209
Urstadt Biddle Properties Inc.,4750806,Keikyu Corporation,6536074
Endo International plc,28347736,"Brother Industries, Ltd.",6164241
"Tivity Health, Inc.",6123250,"Home Product Center Public Co., Ltd.(Alien Mkt)",198613177
Lindsay Corporation,1197472,Asia Cement Corporation,82128205
Aircastle Limited,4959546,Seiko Epson Corp.,7435075
Epiroc AB (publ),10655246,"Kuraray Co., Ltd.",9244954
"The Greenbrier Companies, Inc.",3865266,Grupo Aeroportuario del Sureste SA de CV Class B,7194185
PeptiDream Inc.,2408188,"Saul Centers, Inc.",1962657
"USS Co., Ltd.",6070553,Nabors Industries Ltd.,37959180
Denali Therapeutics Inc.,5811315,Renesas Electronics Corporation,18408996
"JELD-WEN Holding, Inc.",5796346,Merlin Entertainments Plc,19979182
Piper Jaffray Companies,1470652,PERSOL HOLDINGS CO. LTD.,4482238
ArcBest Corporation,3599563,Bank of the Philippine Islands,61982820
"Editas Medicine, Inc.",4290861,Xperi Corp,5323809
SM Energy Company,10926493,"SVMK, Inc.",6638846
Nokian Renkaat Oyj,3902930,"Kyowa Kirin Co., Ltd.",6592726
Showa Denko K.K.,3984164,"Cloudera, Inc.",20809670
Amundi SA,1676896,"Cohen & Steers, Inc.",2127515
"Enanta Pharmaceuticals, Inc.",1620650,Industrivarden AB Class C,4986960
"Schneider National, Inc.",5017001,Genting Singapore Limited,162666959
KION GROUP AG,2064818,MTS Systems Corporation,1866752
Hypera S.A.,13971020,"AnaptysBio, Inc.",1935697
Alfresa Holdings Corporation,4892958,Hellenic Telecommunications Organization SA,7880642
Royal Unibrew A/S,1390982,Gulf Energy Development Public Company Ltd(Alien Mkt),26648896
Cofinimmo SA,808824,Otsuka Corporation,2738233
FGL Holdings,13797352,Turkiye Petrol Rafinerileri A.S.,4326595
"Mitsui Chemicals, Inc.",4839593,Nokian Renkaat Oyj,3763845
World Acceptance Corporation,840858,Central Garden & Pet Company Class A,4416992
Nib Holdings Ltd.,22858838,Mesaieed Petrochemical Holding Company Q.S.C.,151814593
Aalberts NV,2718516,Signet Jewelers Limited,6063159
Air Canada,3471043,"NextGen Healthcare, Inc.",5444793
Iluka Resources Limited,21123617,Kraton Corporation,3484871
Deutsche Lufthansa AG,6957566,Schroders PLC,3253000
"Encore Capital Group, Inc.",3054608,Piper Jaffray Companies,1455423
Mesaieed Petrochemical Holding Company Q.S.C.,145640479,Brilliance China Automotive Holdings Limited,98074035
Public Joint Stock Company Magnit,8270129,"NIPPON EXPRESS CO., LTD.",1902834
Ritchie Bros. Auctioneers Incorporated,2926825,"Herc Holdings, Inc.",2354574
Hugo Boss AG,1886969,American Woodmark Corporation,1274756
Icade,1255113,NIC Inc.,6724879
Crown Resorts Limited,13156360,PPB Group Bhd.,23798385
NSK Ltd.,12113621,Bendigo & Adelaide Bank Ltd.,13602319
IMCD N.V.,1447438,Lite-On Technology Corp.,75610162
"Apogee Enterprises, Inc.",2714202,Incitec Pivot Limited,44897049
"Knoll, Inc.",4483880,Novatek Microelectronics Corp.,20171156
MSG Networks Inc.,6434861,STAAR Surgical Company,3664789
"Cardiovascular Systems, Inc.",2194713,TMX Group Ltd.,1451670
"Spectrum Pharmaceuticals, Inc.",11972641,Klabin SA Ctf de Deposito de Acoes Cons of 1 Sh + 4 Pfd Shs,25238321
Bank of the Philippine Islands,61896603,Epiroc AB Class B,10249892
"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",7287290,Wabash National Corporation,6598903
Fosun International Limited,81642734,"Concordia Financial Group, Ltd.",30255089
Cameco Corporation,11813049,"Methode Electronics, Inc.",3752235
Warehouses De Pauw,610466,Tritax Big Box REIT Plc,57194552
"Air Transport Services Group, Inc.",5119375,"Marcus & Millichap, Inc.",3473367
VERBUND AG,1932379,"Benchmark Electronics, Inc.",4264500
ICA Gruppen AB (publ),2308056,"Mitsui Chemicals, Inc.",4635382
CRRC Corporation Limited,151533661,Fosun International Limited,81070490
"Samsung Life Insurance Co., Ltd.",1808165,Magnolia Oil & Gas Corp. Class A,9240917
"Boston Private Financial Holdings, Inc.",9287940,Meridian Energy Limited,34446003
"ZOZO, Inc.",4846802,Petronas Gas Bhd.,27439628
Steadfast Group Limited,44190384,Virtusa Corporation,2402085
"Fuji Electric Co., Ltd.",3464912,Tryg A/S,3464409
Xperi Corporation,5390209,Aalberts N.V.,2625073
Beach Energy Limited,63731314,"TrueBlue, Inc.",4828439
"Pluralsight, Inc.",6502774,International Consolidated Airlines Group SA,20454611
Seiko Epson Corporation,7709590,TIS Inc.,2032261
"Flagstar Bancorp, Inc.",2960390,KONAMI HOLDINGS CORP,2490232
Milacron Holdings Corp.,6596747,"WOONGJIN COWAY CO., LTD.",1501129
HelloFresh SE,8316541,Howden Joinery Group PLC,15662245
Herc Holdings Inc.,2381973,Antofagasta plc,10088000
BR Malls Participações S.A.,32077272,Gerdau SA Pfd,29107449
Oasis Petroleum Inc.,30704393,IMI plc,8307023
Man Group Ltd.,53102892,MorphoSys AG,874204
"Inovalon Holdings, Inc.",6444889,Deutsche Lufthansa AG,6633215
Convatec Group Plc,51125847,Sony Financial Holdings Inc.,4345494
"Coca-Cola FEMSA, S.A.B. de C.V.",17511025,"Ambarella, Inc.",2404095
"Nippon Express Co., Ltd.",2002120,KION GROUP AG,1959037
Tsuruha Holdings Inc.,1009996,CD Projekt S.A.,1774657
Appian Corporation,2219612,"NGK Insulators, Ltd.",7052617
Vitasoy International Holdings Limited,22677945,"Komercni banka, a.s.",2727326
Natura Cosméticos S.A.,6534971,SmartCentres Real Estate Investment Trust,4292085
Genting Singapore Limited,166930915,Banco Santander (Brasil) S.A. Units Cons of 1 Sh + 1 Pfd Sh,9291144
SJW Group,1616373,BancFirst Corporation,1900113
Reliance Worldwide Corporation Limited,39565578,"Hulic Co., Ltd.",12238682
Hoshizaki Corporation,1446596,"Keihan Holdings Co.,Ltd.",2590042
"Weichai Power Co., Ltd.",66252489,"YY, Inc. Sponsored ADR Class A",1516497
Türkiye Petrol Rafinerileri A.S.,4462046,Evotec SE,3687486
SmartCentres Real Estate Investment Trust,4451284,"KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO.,LTD.",1150578
BancFirst Corporation,1916877,"eHealth, Inc.",1224627
"Papa John's International, Inc.",2025295,Pigeon Corporation,2845923
NIBE Industrier AB (publ),8304340,"Japan Post Bank Co., Ltd.",10805092
Hellenic Telecommunications Organization S.A. d/b/a Cosmote SA,7988253,Tullow Oil plc,42272209
NH Foods Ltd.,2714263,Bharti Infratel Ltd.,29451541
JD Sports Fashion plc,12324801,Coca-Cola Amatil Limited,14366910
"NGK Insulators, Ltd.",7441652,Tosoh Corporation,7440067
Faurecia S.E.,2154879,"United Fire Group, Inc.",2166933
"Saul Centers, Inc.",2004844,Natura Cosmeticos S.A.,6449671
ANA Holdings Inc.,3091996,Lions Gate Entertainment Corp Class B,9007606
Tosoh Corporation,7833736,Toromont Industries Ltd.,2087201
"Nippon Shinyaku Co., Ltd.",1354227,"U.S. Physical Therapy, Inc.",852632
Electric Power Development Co. Ltd.,4540049,"SolarEdge Technologies, Inc.",1672857
"Toyo Suisan Kaisha, Ltd.",2637300,Exxaro Resources Limited,8846568
Sojitz Corporation,33482860,Country Garden Services Holdings Co. Ltd.,42898010
OZ Minerals Limited,16285849,Siam Cement Public Co. Ltd. NVDR,7398208
"Chugoku Electric Power Co., Inc.",8264162,Xero Limited,2371821
Ferro Corporation,8698101,Aircastle Limited,4906591
Novatek Microelectronics Corp.,17651687,Cofinimmo SA,784800
MTS Systems Corporation,1892452,"U.S. Silica Holdings, Inc.",8136949
STAAR Surgical Company,3758543,"Carrizo Oil & Gas, Inc.",10385583
Rémy Cointreau SA,722371,Polymetal International Plc,8535389
ASM Pacific Technology Limited,8650966,K12 Inc.,3415383
"Grupo Financiero Inbursa, S.A.B. de C.V.",81697253,J Sainsbury plc,43116395
Orion Oyj,3007154,Royal Unibrew A/S,1381877
Quilter Plc,64239706,Travis Perkins plc,6809756
"Skylark Holdings Co., Ltd.",6071352,TAG Immobilien AG,4359975
LendingClub Corporation,7158293,"Editas Medicine, Inc.",4186383
"USANA Health Sciences, Inc.",1435868,Vitasoy International Holdings Limited,21881094
Shaftesbury PLC,9720201,VERBUND AG Class A,1838680
"Innovative Industrial Properties, Inc.",1172681,Showa Denko K.K.,3792696
Contact Energy Limited,19122332,Huron Consulting Group Inc.,2045294
AltaGas Ltd.,7429963,Beazley Plc,14591882
"2U, Inc.",5475852,"Yamada Denki Co., Ltd.",23245659
WorleyParsons Limited,11726634,Vector Group Ltd.,10561946
Electricity Generating Public Company Limited,9294576,Singapore Airlines Ltd.,14554801
"Yum China Holdings, Inc.",2289159,"Calavo Growers, Inc.",1061697
ComfortDelGro Corporation Limited,59485636,"CyberAgent, Inc.",2522150
Hammerson Plc,33086085,"TTM Technologies, Inc.",10062945
"American Axle & Manufacturing Holdings, Inc.",12333245,"Fuji Electric Co., Ltd.",3310847
Realogy Holdings Corp.,16838445,Companhia Brasileira de Distribuicao Pfd,4123525
"Stanley Electric Co., Ltd.",4065457,"Encore Capital Group, Inc.",3024827
Tryg A/S,3611333,"Orthofix Medical, Inc.",1937048
Dabur India Limited,16630758,"Kansai Paint Co., Ltd.",5151843
Hikma Pharmaceuticals PLC,4402612,"International Container Terminal Services, Inc.",38563613
"NGK Spark Plug Co., Ltd.",5428525,Remy Cointreau SA,686229
Qube Holdings Limited,46683366,Banco Santander-Chile,1404555356
Beijing Enterprises Water Group Limited,187809436,"Hysan Development Co., Ltd.",21345413
"Alps Alpine Co., Ltd.",5571542,"Gannett Co., Inc.",12514196
Cia. de Minas Buenaventura SAA,7387933,Investec plc,17728953
Signet Jewelers Limited,6121445,"Toyo Suisan Kaisha, Ltd.",2518756
"Big Lots, Inc.",4305832,Invitae Corp.,4340540
"CGN Power Co., Ltd.",400125037,Clariant AG,5536261
Krung Thai Bank PCL,179426909,"Esperion Therapeutics, Inc.",2191654
"Woongjin Coway Co., Ltd.",1528193,Investors Real Estate Trust,1736121
Amorepacific Corporation,869347,Scientific Games Corporation,5138957
Cronos Group Inc.,9068103,"Haier Electronics Group Co., Ltd.",42980397
Sartorius Stedim Biotech S.A.,729410,Icade SA,1163913
Vanguard Index Funds - Vanguard Growth ETF,620651,TFS Financial Corporation,5628767
Link Administration Holdings Limited,26623536,Koc Holding A.S.,30205673
Flughafen Zürich AG,561726,Amorepacific Corp.,857605
Huhtamäki Oyj,2599016,"Weichai Power Co., Ltd. Class H",65140289
Capita plc,58161716,Dechra Pharmaceuticals PLC,2811291
Evoqua Water Technologies Corp.,6204426,"Innoviva, Inc.",6964873
"Japan Airlines Co., Ltd.",3251823,AAC Technologies Holdings Inc.,18565355
"Colony Credit Real Estate, Inc.",7575923,"Skylark Holdings Co., Ltd.",5778956
"Armada Hoffler Properties, Inc.",5748489,Altran Technologies SA,6354268
Yageo Corporation,13862160,Sojitz Corp.,32088086
"Guess?, Inc.",5410053,"Spectrum Pharmaceuticals, Inc.",11737803
"TrueBlue, Inc.",4869071,"TerraForm Power, Inc. Class A",7065697
Viper Energy Partners LP,3457137,CNX Resources Corporation,13815542
"Allogene Therapeutics, Inc.",3443180,International Speedway Corporation Class A,2247782
Bangkok Expressway and Metro Public Company Limited,283228082,Grupo Financiero Inbursa SAB de CV Class O,81220802
Eurazeo SE,1467175,"Knoll, Inc.",4377548
Shizuoka Bank Ltd.,13957988,"Konica Minolta, Inc.",11979874
BlackBerry Limited,13755907,AMP Limited,81442265
Eutelsat Communications S.A.,5456399,Federal Signal Corporation,3754699
Hamilton Lane Incorporated,1762292,ArcBest Corporation,3572831
SINA Corporation,2211607,"NGK SPARK PLUG CO., LTD.",5227161
Semiconductor Manufacturing International Corporation,82469452,Chatham Lodging Trust,5321491
PJSC ALROSA,87831407,Hong Leong Bank Bhd.,23068686
Scholastic Corporation,2565141,Bank of East Asia Ltd.,34617289
"Freshpet, Inc.",2045729,"Electricity Generating Public Co., Ltd.(Alien Mkt)",9401776
Otsuka Corporation,2867031,Kearny Financial Corp.,7535526
"Qatar Fuel Company Q.P.S.C.(""WOQOD"")",16241820,Banco de Credito e Inversiones,1582851
Toromont Industries Ltd.,2101597,NSK Ltd.,11723386
Great Portland Estates Plc,11956893,Wharf (Holdings) Ltd.,40916918
Banco Santander Chile,1433045270,ICA Gruppen AB,2239878
Evraz Plc,15737591,Husqvarna AB Class B,11169433
Orthofix Medical Inc.,1976516,BB Biotech AG,1513858
China Everbright International Limited,129158452,Beijing Enterprises Water Group Limited,188476425
"Calavo Growers, Inc.",1098445,"Tivity Health, Inc.",6075893
"Nelnet, Inc.",1519216,"Innovent Biologics, Inc.",30899000
Callon Petroleum Company,22086955,Spectris plc,3199279
Companhia de Saneamento Básico do Estado de São Paulo - SABESP,8169039,Aldar Properties - P J S C,158482408
Dongfeng Motor Group Company Limited,103866699,Hakuhodo Dy Holdings Incorporated,6297147
Cineworld Group plc,35668900,National Bank Holdings Corporation Class A,2740945
Banco de Credito e Inversiones SA,1591943,Ecopetrol SA,111351563
"Heartland Financial USA, Inc.",2241476,ASM Pacific Technology Limited,8435759
MorphoSys AG,879270,Eutelsat Communications SA,5148865
Ipsen S.A.,1020497,Warehouses De Pauw SCA,590352
OSRAM Licht AG,2502346,Orion Oyj Class B,2873712
Seibu Holdings Inc.,5905918,"Alps Alpine Co., Ltd.",5383699
Grasim Industries Limited,10120609,Atlas Arteria,17559744
The Simply Good Foods Company,3422288,Quilter Plc,55922853
International Speedway Corporation,2270957,ANA Holdings Inc.,2937937
"Heartland Express, Inc.",4608391,BlackBerry Limited,13276761
Rexel S.A.,8702452,SimCorp A/S,1086967
Natixis SA,24770019,KGHM Polska Miedz S.A.,4019846
Magnolia Oil & Gas Corporation,9334628,Flughafen Zurich AG,538598
Banco Santander (Brasil) SA,9367244,Worleyparsons Limited,8883479
"United Fire Group, Inc.",2192513,PT Charoen Pokphand Indonesia Tbk,257763958
"Carbon Black, Inc.",3917825,"Heartland Financial USA, Inc.",2208867
IOI Corporation Berhad,96855312,Companhia Energetica de Minas Gerais SA Pfd,26277795
Nabtesco Corporation,3210664,"Navigant Consulting, Inc.",4258157
"CyberAgent, Inc.",2639362,"Japan Airlines Co., Ltd.",3126650
"Ebix, Inc.",2344451,Methanex Corporation,2169348
Kearny Financial Corp.,7655572,bioMerieux SA,1156500
TFS Financial Corporation (MHC),5651089,LATAM Airlines Group SA,10284878
Dassault Aviation SA,67933,Energy Absolute Public Co. Ltd.(Alien Mkt),58303467
Koç Holding A.S.,31172272,Urstadt Biddle Properties Inc. Class A,4683091
"Pivotal Software, Inc.",6807530,"TSURUHA Holdings, Inc.",959531
innogy SE,2040073,"Chugoku Electric Power Co., Inc.",7850395
"TPG RE Finance Trust, Inc.",5051534,HOSHIZAKI Corp.,1381873
Standex International Corporation,1317735,Qatar Fuel Q.S.C (WOQOD),16907808
Godrej Consumer Products Limited,11626528,G4S plc,46373660
Virtusa Corporation,2466129,NXP Semiconductors NV,1004119
"FARO Technologies, Inc.",1825803,Faurecia SA,2046632
Universal Robina Corporation,31201752,Zee Entertainment Enterprises Limited,18636580
Sony Financial Holdings Inc.,4572446,Hamilton Lane Incorporated Class A,1716278
Georg Fischer AG,114314,AAK AB,4742648
Britvic plc,9104766,ICICI Lombard General Insurance Co. Ltd.,5594021
Accton Technology Corporation,18289903,Radius Health Inc,4009359
Bangkok Bank PCL,17020037,United Internet AG,3238537
Altran Technologies S.A.,6397336,"Electric Power Development Co., Ltd.",4327949
"Diebold Nixdorf, Incorporated",7218498,"Sumitomo Heavy Industries, Ltd.",2994330
Altair Engineering Inc.,3053897,3D Systems Corporation,10711787
TAG Immobilien AG,4504784,NH Foods Ltd.,2609137
American National Insurance Company,822836,Universal Robina Corp.,31067492
ams AG,2140949,Alten SA,779282
Centrais Elétricas Brasileiras S.A. - Eletrobrás,8903026,Hersha Hospitality Trust Class A,5878544
Taiwan Cooperative Financial Holding Co. Ltd.,150680278,Lindsay Corporation,1181652
Luminex Corporation,4495475,"Stanley Electric Co., Ltd.",3890657
National Bank Holdings Corporation,2784763,"CIRCOR International, Inc.",2108971
Singapore Airlines Limited,14937156,"Flagstar Bancorp, Inc.",2927084
MRC Global Inc.,7277867,Taiwan High Speed Rail Corporation,72463659
Suntec Real Estate Investment Trust,71881366,Semiconductor Manufacturing International Corp.,81670541
Yihai International Holding Ltd.,17083989,Ryman Healthcare Ltd.,11384121
Wabash National Corporation,6657507,Livent Corporation,13998365
Lions Gate Entertainment Corp.,9073647,CI Financial Corp.,6195130
"Amada Holdings Co., Ltd.",8925979,Granite Point Mortgage Trust Inc.,5041143
"QEP Resources, Inc.",24018579,Dialog Semiconductor plc,2105097
"Chewy, Inc.",3291775,SBM Offshore NV,4833791
First Capital Realty Inc.,6030215,"TPG RE Finance Trust, Inc.",5005190
Livent Corporation,14149506,Huhtamaki Oyj,2520510
SimCorp A/S,1094853,Man Group PLC,45958493
"Office Depot, Inc.",58409239,REA Group Ltd,1423480
Chatham Lodging Trust,5426832,NATIXIS,23723495
Trelleborg AB (publ),6519579,Genting Malaysia Bhd.,102581756
LivaNova PLC,1148104,PT United Tractors Tbk,54101901
SunPower Corporation,7773068,Cameco Corporation,10397319
"Kinsale Capital Group, Inc.",996179,"iQIYI, Inc. Sponsored ADR Class A",4650239
Gjensidige Forsikring ASA,4999695,Foschini Group Limited,8189622
Ryman Healthcare Limited,11681357,China Resources Power Holdings Co. Ltd.,66448500
Genting Berhad,70108590,Georg Fischer AG,110390
"Oil States International, Inc.",6289676,Bombardier Inc. Class B,55507940
"Komerční banka, a. s.",2759712,Contact Energy Limited,18648000
Canadian Utilities Limited,3381127,"Yum China Holdings, Inc.",2074283
PPB Group Berhad,22097000,Kuala Lumpur Kepong Bhd.,16719473
Hakuhodo DY Holdings Inc,6621354,First Capital Realty Inc.,5770709
Mapletree Commercial Trust,62601287,Pandora A/S,2470169
K12 Inc.,3454284,Bangkok Expressway and Metro Public Company Limited(Alien Mkt),279780583
Altium Limited,4003596,Walsin Technology Corporation,16778234
Hitachi High-Technologies Corporation,1771123,Embraer S.A.,18593513
Elbit Systems Ltd.,619310,American National Insurance Company,819272
Flight Centre Travel Group Limited,2939329,Standex International Corporation,1302996
Eicher Motors Limited,417124,Alpha Bank AE,48547343
"Sumitomo Heavy Industries, Ltd.",3120418,"Sturm, Ruger & Company, Inc.",1749060
Energy Absolute Public Company Limited,58560667,Elis SA,5097997
"NexPoint Residential Trust, Inc.",2128887,Ritchie Bros. Auctioneers Incorporated,2861942
ProSiebenSat.1 Media SE,6483078,"RMR Group, Inc. Class A",2023353
PETRONAS Gas Berhad,24782053,"Nippon Shinyaku Co., Ltd.",1305115
Chesapeake Utilities Corporation,1038030,SJW Group,1559881
St. Joe Company,5343537,Chesapeake Utilities Corporation,997292
"Fossil Group, Inc.",7144848,innogy SE,1953460
AAC Technologies Holdings Inc.,18806776,"Interface, Inc.",6169165
"Universal Insurance Holdings, Inc.",3360573,Cencosud S.A.,47635126
"International Container Terminal Services, Inc.",38233413,FirstService Corp,911268
Dialog Semiconductor Plc,2103030,"AMADA HOLDINGS CO.,LTD",8466700
Aedifica SA,852567,"Alfa, S.A.B. de C.V. Class A",107687304
RMR Group Inc.,2039460,PT Semen Indonesia (Persero) Tbk,102523515
Empresas CMPC S.A.,40135059,Empresas CMPC S.A.,39966061
Charter Hall Retail REIT,32631572,Suntec Real Estate Investment Trust,67438397
"Aerie Pharmaceuticals, Inc.",4188446,"Armada Hoffler Properties, Inc.",5679878
"Siemens Gamesa Renewable Energy, S.A.",6526402,PSG Group Limited,5822061
Companhia Energética de Minas Gerais,26721855,"HIROSE ELECTRIC CO., LTD.",889462
Liberty Global plc,3500370,Vanguard Growth ETF,574591
"Persol Holdings Co.,Ltd.",4718443,ConvaTec Group Plc,44186080
Koninklijke Vopak N.V.,1973398,"Enphase Energy, Inc.",5146134
Nihon M&A Center Inc.,3386474,"FARO Technologies, Inc.",1784171
BB Biotech AG,1512798,Cision Ltd.,7995374
Invitae Corporation,4535678,"BJ's Restaurants, Inc.",2134276
Teijin Limited,5095884,SemGroup Corporation Class A,7814019
Telecom Italia SpA,176122413,Evolution Mining Limited,27079631
Vanguard Index Funds - Vanguard Value ETF,852875,CNP Assurances SA,4495737
Aldar Properties PJSC,157867425,Tiger Brands Limited,5936969
"Fitbit, Inc.",26441008,CorVel Corporation,1072585
"McDermott International, Inc.",16279330,SINA Corp.,2162533
"Huatai Securities Co., Ltd.",57092535,Wynn Macau Ltd.,40867990
"LGI Homes, Inc.",1207807,HDFC Life Insurance Co. Ltd.,12994631
Gerdau S.A.,29481349,Royal Vopak NV,1876088
ePlus Inc.,1157378,Alibaba Pictures Group Limited,458477292
Elis SA,5303153,"Eclat Textile Co., Ltd.",7039912
MediPal Holdings Corporation,4354535,"Shizuoka Bank, Ltd.",13432452
PT Charoen Pokphand Indonesia Tbk,258234258,Mitsubishi Materials Corp.,3359508
"Cheng Shin Rubber Ind. Co., Ltd.",67087624,Rotork plc,24615310
ASM International NV,1060823,Eurazeo SA,1375280
"China Biologic Products Holdings, Inc.",950421,"Huatai Securities Co., Ltd. Class H",56743533
Azbil Corporation,3582147,Sibanye-Stillwater,72073331
"ALFA, S.A.B. de C.V",109329204,"ARMOUR Residential REIT, Inc.",4969701
GMS Inc.,3488993,"Universal Insurance Holdings, Inc.",3316344
S-Oil Corporation,1130157,Rexel SA,8205240
Formula One Group,2373189,VTB Bank PJSC,137909198491
Metcash Limited,45474228,SBI Life Insurance Co. Ltd.,7967027
"MACOM Technology Solutions Holdings, Inc.",4139718,Clear Channel Outdoor Holdings Inc,19547866
Granite Point Mortgage Trust Inc.,5089620,Trelleborg AB Class B,6616354
ProPetro Holding Corp.,8966717,Centrais Eletricas Brasileiras SA-Eletrobras,8794126
"PLDT, Inc.",4125566,"PLDT, Inc.",4070706
LATAM Airlines Group S.A.,10435472,Swedish Orphan Biovitrum AB,4713081
VAT Group AG,710995,"SK Telecom Co., Ltd.",435634
UOL Group Limited,17290765,"Dongfeng Motor Group Co., Ltd. Class H",102336699
Seaboard Corporation,21545,United Spirits Limited,10640538
Pan American Silver Corp.,5495778,ICL-Israel Chemicals Ltd.,16877068
Entertainment One Ltd.,13269924,Luminex Corp,4450215
Ackermans & Van Haaren NV,628888,Commercial Bank (Q.S.C.),69628191
"Aimmune Therapeutics, Inc.",3706394,Liberty TripAdvisor Holdings Inc Class A,7396773
FirstService Corporation,928684,Gjensidige Forsikring ASA,4667197
Fresh Del Monte Produce Inc.,2966189,St. Joe Company,5301195
SKYCITY Entertainment Group Limited,36018413,Bayerische Motoren Werke AG Pref,1526725
Klabin S.A.,25005521,Inchcape plc,12994000
Husqvarna AB (publ),11177234,OSRAM Licht AG,2385742
"eHealth, Inc.",1271657,Yihai International Holding Ltd.,17081989
Wharf (Holdings) Limited,41894236,Kasikornbank Public Co. Ltd.,16280307
WH Smith PLC,3804227,Telecom Italia Rsp,170840459
"Theravance Biopharma, Inc.",3932787,Hindalco Industries Limited,32902118
"Sangamo Therapeutics, Inc.",8309161,"Compal Electronics, Inc.",148504656
Close Brothers Group Plc,5553083,Getinge AB Class B,6153463
Weibo Corporation,1872629,"Schneider National, Inc. Class B",4996696
"Caleres, Inc.",4116211,"Inovalon Holdings, Inc. Class A",6274997
"Toho Gas Co., Ltd.",2466902,Pennon Group Plc,9891000
Mitsubishi Materials Corp.,3496163,"Cardiovascular Systems, Inc.",2117826
TiVo Corporation,10956477,Liberty Global Plc Class A,3368032
bioMérieux S.A.,1211549,Electrocomponents plc,12196264
Element Fleet Management Corp.,11440060,Coca-Cola Bottlers Japan Holdings Inc.,3663545
China Resources Power Holdings Company Limited,67400500,Mapletree Commercial Trust,59995978
PT Semen Indonesia (Persero) Tbk,104073415,Grupo de Inversiones Suramericana S.A.,8655334
Nabors Industries Ltd.,38290061,TOMRA Systems ASA,3038973
Axel Springer SE,1325933,Spar Group Limited,6960558
VTB Bank (PJSC),139842574615,"Andersons, Inc.",3320439
"Sohgo Security Services Co.,Ltd.",1864738,"Allogene Therapeutics, Inc.",3363998
"Carrizo Oil & Gas, Inc.",10474871,UOL Group Limited,16815459
"Eclat Textile Co., Ltd.",7121602,China Railway Group Limited Class H,128059562
"Feng Tay Enterprises Co., Ltd.",13154359,"TOHO GAS Co., Ltd.",2357397
AAK AB (publ.),4763717,Milacron Holdings Corp.,6534090
Allreal Holding AG,483247,"Boot Barn Holdings, Inc.",2527517
"Epizyme, Inc.",7078470,Takeaway.com Holding BV,996089
CI Financial Corp.,6346666,Freshpet Inc,1978645
YY Inc.,1550966,Central Pacific Financial Corp.,3004598
"Boot Barn Holdings, Inc.",2587530,"Taisho Pharmaceutical Holdings Co., Ltd.",1172752
Hysan Development Company Limited,22579783,Taiheiyo Cement Corporation,3175895
"US Ecology, Inc.",1402130,Dassault Aviation SA,65104
"Chiba Bank, Ltd.",17568515,"Seibu Holdings, Inc.",5674756
"iQIYI, Inc.",4741519,CIFI Holdings (Group) Co. Ltd.,139231126
Demant A/S,3023310,Beijing Enterprises Holdings Limited,18268612
Raiffeisen Bank International AG,3881676,Power Grid Corporation of India Limited,29250985
Hersha Hospitality Trust,5964868,Nihon M&A Center Inc.,3299025
Israel Chemicals Limited,19161577,Elbit Systems Ltd,599320
HDFC Life Insurance Company Ltd.,12054141,MISC Bhd,50986035
Siam Commercial Bank PCL,22459320,"China Biologic Products Holdings, Inc.",939314
3D Systems Corporation,10833628,Ackermans & van Haaren NV,609036
Community Healthcare Trust Incorporated,2209056,Turkcell Iletisim Hizmetleri A.S.,38028078
Royal Mail plc,32731788,Avenue Supermarts Ltd.,4145640
Mapletree Logistics Trust,79231147,Mallinckrodt Plc,9716288
IG Group Holdings Plc,12479412,VAT Group AG,706506
Beijing Enterprises Holdings Limited,18538612,Saudi Arabian Mining Co.,7105190
easyJet plc,7324985,Indiabulls Housing Finance Ltd.,11421531
Dubai Islamic Bank (PJSC),61858108,Dubai Islamic Bank PJSC,61441957
"Samsung Biologics Co.,Ltd.",366348,Cipla Limited,11743238
Companhia Brasileira de Distribuição,4173726,Eurobank Ergasias SA,90628743
Lundin Mining Corporation,17210344,S-Oil Corporation,1117854
Petrobras Distribuidora S.A.,13207154,"Nelnet, Inc. Class A",1499138
Bank of East Asia,35549777,DP World PLC,5759878
"Konica Minolta, Inc.",12408045,Vanguard Value ETF,799299
Digital Telecommunications Infrastructure Fund,161729594,"Siemens Gamesa Renewable Energy, S.A.",6277383
CNP Assurances SA,4733689,PT Gudang Garam Tbk,16449557
